Beggin',Måneskin,"['pop', 'rock']",rock
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,"['pop', 'rap']",rap
MONTERO (Call Me By Your Name),Lil Nas X,"['pop', 'rap']",rap
Todo De Ti,Rauw Alejandro,"['pop', 'rap']",pop
I WANNA BE YOUR SLAVE,Måneskin,"['pop', 'rock']",rock
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,"['r&b', 'pop']",pop
Blinding Lights,The Weeknd,"['r&b', 'pop']",pop
Pareja Del Año,"Sebastian Yatra, Myke Towers","['rap', 'pop']",pop
911 - Remix,"Sech, Jhay Cortez","['rap', 'pop']",rap
"Nicky Jam: Bzrp Music Sessions, Vol. 41","Bizarrap, Nicky Jam","['rap', 'pop']",rap
Freaks,Surf Curse,"['rock', 'pop']",rock
Meu Pedaço de Pecado,João Gomes,rock,rock
2/Catorce,"Rauw Alejandro, Mr. Naisgai","['pop', 'rap']",r&b
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,"['rock', 'pop']",pop
Run,OneRepublic,"['rock', 'pop']",pop
Thot Shit,Megan Thee Stallion,"['rap', 'pop']",rap
Your Love (9PM),"ATB, Topic, A7S","['pop', 'rock']",pop
Save Your Tears,The Weeknd,"['r&b', 'pop']",pop
Heartbreak Anniversary,Giveon,"['r&b', 'pop']",r&b
Dinero,Trinidad Cardona,r&b,r&b
Sweater Weather,The Neighbourhood,"['rock', 'pop']",rock
ZITTI E BUONI,Måneskin,"['pop', 'rock']",rock
Botella Tras Botella,"Gera MX, Christian Nodal","['pop', 'rap']",pop
Wants and Needs (feat. Lil Baby),Drake,"['rap', 'pop']",rap
Goosebumps - Remix,"Travis Scott, HVME","['rap', 'pop']",rap
Iko Iko (My Bestie),"Justin Wellington, Small Jam","['popo', 'pop']",pop
Better Believe,"Belly, The Weeknd, Young Thug","['rap', 'pop']",rap
Ram Pam Pam,"Natti Natasha, Becky G","['rap', 'pop']",pop
In Da Getto,"J Balvin, Skrillex",pop,pop
t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW,"['pop', 'rock']",rock
Reckless,Madison Beer,"['pop', 'rock']",pop
"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",BANDIDO,rap,rap
Believer,Imagine Dragons,"['rock', 'pop']",rock
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,"['rap', 'pop']",rap
Roses - Imanbek Remix,SAINt JHN,"['rap', 'pop']",pop
Sal y Perrea,Sech,"['rap', 'pop']",rap
Fulanito,"Becky G, El Alfa","['pop', 'rap']",rap
París,Ingratax,pop,pop
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee","['rap', 'pop']",pop
double take,dhruv,"['pop', 'r&b']",r&b
Heather,Conan Gray,"['pop', 'rock']",pop
you broke me first,Tate McRae,"['pop', 'rock']",pop
Riptide,Vance Joy,"['rock', 'pop']",rock
Daddy Issues,The Neighbourhood,"['rock', 'pop']",rock
Aquelas Coisas,João Gomes,rock,rock
Memories,Maroon 5,"['rock', 'pop']",pop
Take Me To Church,Hozier,"['r&b', 'rock', 'pop']",rock
Little Bit of Love,Tom Grennan,"['pop', 'rock']",pop
Up,Cardi B,"['rap', 'pop']",rap
goosebumps,Travis Scott,"['rap', 'pop']",rap
KESI - Remix,"Camilo, Shawn Mendes","['rap', 'pop']",pop
"Não, Não Vou",Mari Fernandez,rock,rock
Counting Stars,OneRepublic,"['rock', 'pop']",pop
Yellow,Coldplay,"['rock', 'pop']",rock
Como Si No Importara,"Emilia, Duki",pop,pop
Se For Amor,"João Gomes, Vitor Fernandes",rock,rock
Lucid Dreams,Juice WRLD,"['pop', 'rap']",rap
WAP (feat. Megan Thee Stallion),Cardi B,"['rap', 'pop']",rap
Wild Side (feat. Cardi B),Normani,"['pop', 'r&b']",r&b
One Dance,"Drake, WizKid, Kyla","['rap', 'pop']",rap
Cúrame,Rauw Alejandro,"['pop', 'rap']",rap
All of Me,John Legend,"['pop', 'r&b']",r&b
Best Friend (feat. Doja Cat),Saweetie,"['pop', 'rap']",rap
The Hills,The Weeknd,"['r&b', 'pop']",r&b
Good Days,SZA,"['pop', 'r&b']",r&b
penhasco.,Luísa Sonza,"['pop', 'rock']",pop
MI FAI IMPAZZIRE,"BLANCO, Sfera Ebbasta","['rap', 'pop']",pop
Lost Cause,Billie Eilish,pop,pop
Shot in the Dark,John Mayer,"['rock', 'pop']",rock
Wrecked,Imagine Dragons,"['rock', 'pop']",rock
"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",Internet Money,"['rap', 'pop']",rap
Follow You,Imagine Dragons,"['rock', 'pop']",pop
911,Sech,"['rap', 'pop']",pop
The Jackie (with J. Cole & Lil Tjay),Bas,"['rap', 'pop']",rap
WHOLE LOTTA MONEY (feat. Nicki Minaj) - Remix,BIA,"['rap', 'r&b', 'pop']",r&b
Sexo Virtual,Rauw Alejandro,"['pop', 'rap']",pop
Wonderwall - Remastered,Oasis,"['rock', 'pop']",rock
Wasting Time ( feat. Drake ),Brent Faiyaz,"['rap', 'r&b', 'pop']",r&b
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,"['rap', 'pop']",rap
Lieben wir,Shirin David,"['rap', 'pop']",rap
Reloj,"Rauw Alejandro, Anuel AA","['pop', 'rap']",pop
"Eladio Carrion: Bzrp Music Sessions, Vol. 40","Bizarrap, Eladio Carrion","['rap', 'pop']",rap
Do I Wanna Know?,Arctic Monkeys,"['rock', 'pop']",rock
Having Our Way (feat. Drake),Migos,"['rap', 'pop']",rap
working,"Tate McRae, Khalid","['pop', 'rock']",pop
Petrouchka (feat. PLK),Soso Maness,"['rap', 'pop']",rap
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,"['rap', 'pop', 'rock']",pop
my ex's best friend (with blackbear),Machine Gun Kelly,"['rap', 'pop']",pop
HIGHEST IN THE ROOM,Travis Scott,"['rap', 'pop']",rap
Laugh Now Cry Later (feat. Lil Durk),Drake,"['rap', 'pop']",rap
Ella No Es Tuya - Remix,"Rochy RD, Myke Towers, Nicki Nicole","['rap', 'pop']",rap
